SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
J&KBANK,STRONG_STOCK,NO_NEWS,73.28,76.62
JAGRAN,WEEK_STOCK,NEWS,186.28,188.92
JAGSNPHARM,STRONG_STOCK,NO_NEWS,38.87,39.63
JAIBALAJI,STRONG_STOCK,NO_NEWS,12.72,12.98
JAICORPLTD,WEEK_STOCK,NO_NEWS,73.6,75.2
JAMNAAUTO,STRONG_STOCK,NO_NEWS,192.52,207.48
JAYAGROGN,WEEK_STOCK,NO_NEWS,611.15,617.35
JAYBARMARU,STRONG_STOCK,NO_NEWS,339.82,357.08
JAYNECOIND,STRONG_STOCK,NO_NEWS,8.08,8.32
JAYSREETEA,STRONG_STOCK,NO_NEWS,110.5,111.7
JBCHEPHARM,STRONG_STOCK,NO_NEWS,329.78,331.92
JBFIND,WEEK_STOCK,NO_NEWS,249.53,255.47
JBMA,STRONG_STOCK,NO_NEWS,264.85,270.55
JENSONICOL,STRONG_STOCK,NO_NEWS,7.7,8.6
JETAIRWAYS,WEEK_STOCK,NEWS,419.67,428.03
JHS,WEEK_STOCK,NO_NEWS,38.27,38.93
JINDALPHOT,WEEK_STOCK,NO_NEWS,81.45,84.15
JINDALPOLY,STRONG_STOCK,NO_NEWS,319.67,324.33
JINDALSAW,WEEK_STOCK,NO_NEWS,73.27,74.73
JINDALSTEL,STRONG_STOCK,NEWS,106.62,113.88
JINDCOT,STRONG_STOCK,NO_NEWS,15.25,15.95
JINDRILL,WEEK_STOCK,NO_NEWS,172.1,174.7
JINDWORLD,STRONG_STOCK,NO_NEWS,257.45,271.15
JISLDVREQS,STRONG_STOCK,NEWS,59.5,60.5
JISLJALEQS,WEEK_STOCK,NEWS,94.05,95.55
JKCEMENT,WEEK_STOCK,NO_NEWS,876.6,893
JKIL,WEEK_STOCK,NO_NEWS,224.02,231.58
JKLAKSHMI,STRONG_STOCK,NEWS,391.15,395.65
JKPAPER,STRONG_STOCK,NO_NEWS,90.85,91.05
JKTYRE,STRONG_STOCK,NO_NEWS,118.23,120.57
JMA,WEEK_STOCK,NO_NEWS,198.37,201.63
JMCPROJECT,WEEK_STOCK,NEWS,221.8,228.7
JMFINANCIL,WEEK_STOCK,NEWS,84.15,85.35
JMTAUTOLTD,WEEK_STOCK,NO_NEWS,13.95,16.05
JOCIL,WEEK_STOCK,NO_NEWS,167.52,170.58
JPASSOCIAT,STRONG_STOCK,NEWS,13.53,14.27
JPINFRATEC,STRONG_STOCK,NO_NEWS,9.92,10.28
JPOLYINVST,WEEK_STOCK,NO_NEWS,85.67,85.93
JPPOWER,STRONG_STOCK,NEWS,5.57,5.93
JSL,WEEK_STOCK,NEWS,50.9,52.5
JSLHISAR,STRONG_STOCK,NEWS,105.87,107.53
JSWENERGY,WEEK_STOCK,NEWS,62.77,63.43
JSWHL,WEEK_STOCK,NO_NEWS,1493.92,1533.88
JSWSTEEL,STRONG_STOCK,NEWS,183.85,186.15
JSWSTEEL,STRONG_STOCK,NEWS,183.85,186.15
JUBILANT,WEEK_STOCK,NO_NEWS,705.95,715.25
JUBLFOOD,WEEK_STOCK,NO_NEWS,1001.87,1018.03
JUBLINDS,WEEK_STOCK,NO_NEWS,335.28,342.62
JUNIORBEES,WEEK_STOCK,NO_NEWS,245.91,249.17
JUSTDIAL,STRONG_STOCK,NEWS,524.25,535.95
JVLAGRO,STRONG_STOCK,NO_NEWS,20.57,20.83
JYOTHYLAB,STRONG_STOCK,NEWS,344.27,362.23
JYOTISTRUC,STRONG_STOCK,NO_NEWS,8.87,9.23
